sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 910s] threads: 112, tps: 2563.50, reads: 35890.62, writes: 7691.30, response time: 37.48ms (95%), errors: 0.00, reconnects:  0.00
[ 920s] threads: 112, tps: 350.30, reads: 4911.90, writes: 1053.10, response time: 1036.24ms (95%), errors: 0.00, reconnects:  0.00
[ 930s] threads: 112, tps: 2062.90, reads: 28874.09, writes: 6186.30, response time: 39.51ms (95%), errors: 0.00, reconnects:  0.00
[ 940s] threads: 112, tps: 3567.62, reads: 49890.82, writes: 10684.25, response time: 41.49ms (95%), errors: 0.00, reconnects:  0.00
[ 950s] threads: 112, tps: 5206.70, reads: 72893.41, writes: 15621.10, response time: 34.94ms (95%), errors: 0.00, reconnects:  0.00
[ 960s] threads: 112, tps: 4258.80, reads: 59627.59, writes: 12778.60, response time: 38.29ms (95%), errors: 0.00, reconnects:  0.00
[ 970s] threads: 112, tps: 1164.80, reads: 16354.35, writes: 3509.99, response time: 669.56ms (95%), errors: 0.00, reconnects:  0.00
[ 980s] threads: 112, tps: 504.40, reads: 7067.58, writes: 1513.80, response time: 1041.53ms (95%), errors: 0.00, reconnects:  0.00
[ 990s] threads: 112, tps: 1468.91, reads: 20510.12, writes: 4388.12, response time: 771.63ms (95%), errors: 0.00, reconnects:  0.00
[1000s] threads: 112, tps: 2526.10, reads: 35375.29, writes: 7579.90, response time: 37.66ms (95%), errors: 0.00, reconnects:  0.00
[1010s] threads: 112, tps: 5010.80, reads: 70144.00, writes: 15032.60, response time: 37.34ms (95%), errors: 0.00, reconnects:  0.00
[1020s] threads: 112, tps: 4952.30, reads: 69333.42, writes: 14856.10, response time: 37.43ms (95%), errors: 0.00, reconnects:  0.00
[1030s] threads: 112, tps: 2633.79, reads: 36925.59, writes: 7919.58, response time: 54.09ms (95%), errors: 0.00, reconnects:  0.00
[1040s] threads: 112, tps: 640.20, reads: 8961.28, writes: 1919.80, response time: 966.14ms (95%), errors: 0.00, reconnects:  0.00
[1050s] threads: 112, tps: 652.70, reads: 9139.41, writes: 1958.90, response time: 741.07ms (95%), errors: 0.00, reconnects:  0.00
[1060s] threads: 112, tps: 1998.10, reads: 27972.19, writes: 5993.70, response time: 55.20ms (95%), errors: 0.00, reconnects:  0.00
[1070s] threads: 112, tps: 504.40, reads: 7062.19, writes: 1512.60, response time: 1303.29ms (95%), errors: 0.00, reconnects:  0.00
[1080s] threads: 112, tps: 2520.91, reads: 35239.79, writes: 7546.34, response time: 54.29ms (95%), errors: 0.00, reconnects:  0.00
[1090s] threads: 112, tps: 4583.50, reads: 64167.87, writes: 13749.39, response time: 40.92ms (95%), errors: 0.00, reconnects:  0.00
[1100s] threads: 112, tps: 4387.70, reads: 61430.80, writes: 13162.20, response time: 42.84ms (95%), errors: 0.00, reconnects:  0.00
[1110s] threads: 112, tps: 3282.99, reads: 46010.50, writes: 9867.98, response time: 53.29ms (95%), errors: 0.00, reconnects:  0.00
[1120s] threads: 112, tps: 869.30, reads: 12175.08, writes: 2609.10, response time: 661.59ms (95%), errors: 0.00, reconnects:  0.00
[1130s] threads: 112, tps: 618.10, reads: 8648.80, writes: 1853.10, response time: 1024.83ms (95%), errors: 0.00, reconnects:  0.00
[1140s] threads: 112, tps: 677.20, reads: 9486.80, writes: 2033.20, response time: 666.96ms (95%), errors: 0.00, reconnects:  0.00
[1150s] threads: 112, tps: 3819.41, reads: 53418.78, writes: 11439.44, response time: 43.42ms (95%), errors: 0.00, reconnects:  0.00
[1160s] threads: 112, tps: 4045.40, reads: 56643.83, writes: 12136.51, response time: 49.06ms (95%), errors: 0.00, reconnects:  0.00
[1170s] threads: 112, tps: 3982.90, reads: 55752.20, writes: 11948.20, response time: 48.65ms (95%), errors: 0.00, reconnects:  0.00
[1180s] threads: 112, tps: 3983.70, reads: 55763.10, writes: 11949.70, response time: 49.56ms (95%), errors: 0.00, reconnects:  0.00
[1190s] threads: 112, tps: 3807.00, reads: 53313.69, writes: 11423.00, response time: 51.95ms (95%), errors: 0.00, reconnects:  0.00
[1200s] threads: 112, tps: 3660.40, reads: 51236.22, writes: 10980.40, response time: 52.43ms (95%), errors: 0.00, reconnects:  0.00
[1210s] threads: 112, tps: 3793.10, reads: 53094.67, writes: 11379.09, response time: 52.26ms (95%), errors: 0.00, reconnects:  0.00
[1220s] threads: 112, tps: 2101.90, reads: 29441.86, writes: 6305.49, response time: 54.91ms (95%), errors: 0.00, reconnects:  0.00
[1230s] threads: 112, tps: 2415.70, reads: 33827.35, writes: 7253.11, response time: 54.03ms (95%), errors: 0.00, reconnects:  0.00
[1240s] threads: 112, tps: 2761.39, reads: 38701.01, writes: 8297.78, response time: 188.52ms (95%), errors: 0.00, reconnects:  0.00
[1250s] threads: 112, tps: 1340.40, reads: 18754.14, writes: 4015.41, response time: 254.23ms (95%), errors: 0.00, reconnects:  0.00
[1260s] threads: 112, tps: 1251.29, reads: 17529.52, writes: 3759.48, response time: 469.05ms (95%), errors: 0.00, reconnects:  0.00
[1270s] threads: 112, tps: 2619.21, reads: 36620.98, writes: 7841.24, response time: 59.17ms (95%), errors: 0.00, reconnects:  0.00
[1280s] threads: 112, tps: 1768.90, reads: 24758.80, writes: 5303.50, response time: 56.46ms (95%), errors: 0.00, reconnects:  0.00
[1290s] threads: 112, tps: 2219.90, reads: 31083.19, writes: 6660.20, response time: 56.29ms (95%), errors: 0.00, reconnects:  0.00
[1300s] threads: 112, tps: 2377.69, reads: 33336.99, writes: 7152.38, response time: 54.87ms (95%), errors: 0.00, reconnects:  0.00
[1310s] threads: 112, tps: 2935.80, reads: 41101.19, writes: 8807.40, response time: 56.10ms (95%), errors: 0.00, reconnects:  0.00
[1320s] threads: 112, tps: 1712.31, reads: 23914.19, writes: 5117.72, response time: 57.36ms (95%), errors: 0.00, reconnects:  0.00
[1330s] threads: 112, tps: 2312.99, reads: 32439.96, writes: 6958.17, response time: 58.02ms (95%), errors: 0.00, reconnects:  0.00
[1340s] threads: 112, tps: 2209.81, reads: 30890.12, writes: 6611.42, response time: 58.45ms (95%), errors: 0.00, reconnects:  0.00
[1350s] threads: 112, tps: 2363.20, reads: 33079.02, writes: 7089.20, response time: 57.26ms (95%), errors: 0.00, reconnects:  0.00
[1360s] threads: 112, tps: 3377.50, reads: 47281.21, writes: 10130.90, response time: 55.57ms (95%), errors: 0.00, reconnects:  0.00
[1370s] threads: 112, tps: 3228.20, reads: 45202.09, writes: 9686.60, response time: 57.51ms (95%), errors: 0.00, reconnects:  0.00
[1380s] threads: 112, tps: 2050.79, reads: 28759.06, writes: 6169.77, response time: 347.60ms (95%), errors: 0.00, reconnects:  0.00
[1390s] threads: 112, tps: 1926.50, reads: 26971.45, writes: 5779.71, response time: 344.70ms (95%), errors: 0.00, reconnects:  0.00
[1400s] threads: 112, tps: 1969.11, reads: 27503.18, writes: 5888.52, response time: 366.63ms (95%), errors: 0.00, reconnects:  0.00
[1410s] threads: 112, tps: 1368.10, reads: 19218.75, writes: 4123.49, response time: 408.96ms (95%), errors: 0.00, reconnects:  0.00
[1420s] threads: 112, tps: 1394.90, reads: 19473.74, writes: 4165.71, response time: 53.82ms (95%), errors: 0.00, reconnects:  0.00
[1430s] threads: 112, tps: 3413.50, reads: 47786.21, writes: 10240.10, response time: 55.20ms (95%), errors: 0.00, reconnects:  0.00
[1440s] threads: 112, tps: 3547.30, reads: 49659.59, writes: 10641.90, response time: 54.74ms (95%), errors: 0.00, reconnects:  0.00
[1450s] threads: 112, tps: 2301.09, reads: 32275.12, writes: 6922.28, response time: 266.63ms (95%), errors: 0.00, reconnects:  0.00
[1460s] threads: 112, tps: 1240.90, reads: 17371.10, writes: 3722.70, response time: 395.12ms (95%), errors: 0.00, reconnects:  0.00
[1470s] threads: 112, tps: 1446.90, reads: 20211.85, writes: 4322.71, response time: 397.85ms (95%), errors: 0.00, reconnects:  0.00
[1480s] threads: 112, tps: 1374.89, reads: 19295.33, writes: 4143.08, response time: 60.97ms (95%), errors: 0.00, reconnects:  0.00
[1490s] threads: 112, tps: 1203.60, reads: 16794.36, writes: 3590.61, response time: 52.53ms (95%), errors: 0.00, reconnects:  0.00
[1500s] threads: 112, tps: 3668.40, reads: 51355.50, writes: 11005.80, response time: 53.50ms (95%), errors: 0.00, reconnects:  0.00
[1510s] threads: 112, tps: 3175.20, reads: 44452.80, writes: 9526.20, response time: 56.17ms (95%), errors: 0.00, reconnects:  0.00
[1520s] threads: 112, tps: 2170.30, reads: 30429.50, writes: 6526.50, response time: 201.72ms (95%), errors: 0.00, reconnects:  0.00
[1530s] threads: 112, tps: 1426.70, reads: 19984.49, writes: 4282.90, response time: 384.50ms (95%), errors: 0.00, reconnects:  0.00
[1540s] threads: 112, tps: 1085.30, reads: 15194.54, writes: 3255.89, response time: 556.48ms (95%), errors: 0.00, reconnects:  0.00
[1550s] threads: 112, tps: 2266.80, reads: 31734.79, writes: 6800.20, response time: 380.04ms (95%), errors: 0.00, reconnects:  0.00
[1560s] threads: 112, tps: 232.00, reads: 3185.41, writes: 676.00, response time: 478.69ms (95%), errors: 0.00, reconnects:  0.00
[1570s] threads: 112, tps: 3586.50, reads: 50218.91, writes: 10759.70, response time: 53.93ms (95%), errors: 0.00, reconnects:  0.00
[1580s] threads: 112, tps: 3344.90, reads: 46832.49, writes: 10036.50, response time: 55.75ms (95%), errors: 0.00, reconnects:  0.00
[1590s] threads: 112, tps: 2738.50, reads: 38378.77, writes: 8229.79, response time: 63.30ms (95%), errors: 0.00, reconnects:  0.00
[1600s] threads: 112, tps: 1242.30, reads: 17402.34, writes: 3730.59, response time: 460.28ms (95%), errors: 0.00, reconnects:  0.00
[1610s] threads: 112, tps: 1310.50, reads: 18343.62, writes: 3930.10, response time: 386.23ms (95%), errors: 0.00, reconnects:  0.00
[1620s] threads: 112, tps: 2328.30, reads: 32600.00, writes: 6986.30, response time: 292.64ms (95%), errors: 0.00, reconnects:  0.00
