sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 710s] threads: 112, tps: 3732.71, reads: 52257.40, writes: 11197.32, response time: 52.76ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 112, tps: 2812.89, reads: 39399.73, writes: 8443.88, response time: 66.70ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 112, tps: 1176.70, reads: 16499.82, writes: 3541.30, response time: 397.25ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 112, tps: 1160.10, reads: 16244.68, writes: 3482.90, response time: 378.90ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 112, tps: 2535.00, reads: 35492.87, writes: 7605.21, response time: 293.78ms (95%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 112, tps: 1081.20, reads: 15133.07, writes: 3243.19, response time: 458.50ms (95%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 112, tps: 1945.70, reads: 27240.94, writes: 5837.29, response time: 62.92ms (95%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 112, tps: 1365.40, reads: 19119.74, writes: 4097.21, response time: 58.70ms (95%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 112, tps: 3548.41, reads: 49620.19, writes: 10626.22, response time: 51.05ms (95%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 112, tps: 3909.79, reads: 54732.80, writes: 11727.58, response time: 51.61ms (95%), errors: 0.00, reconnects:  0.00
[ 810s] threads: 112, tps: 2842.79, reads: 39861.01, writes: 8548.98, response time: 164.03ms (95%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 112, tps: 1170.30, reads: 16345.94, writes: 3496.91, response time: 407.98ms (95%), errors: 0.00, reconnects:  0.00
[ 830s] threads: 112, tps: 1120.50, reads: 15725.43, writes: 3375.51, response time: 417.87ms (95%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 112, tps: 2370.39, reads: 33183.27, writes: 7110.97, response time: 390.53ms (95%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 112, tps: 820.20, reads: 11473.70, writes: 2458.40, response time: 865.88ms (95%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 112, tps: 1666.10, reads: 23334.62, writes: 5000.50, response time: 57.89ms (95%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 112, tps: 1344.30, reads: 18768.16, writes: 4014.31, response time: 60.70ms (95%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 112, tps: 3730.41, reads: 52224.11, writes: 11192.22, response time: 52.89ms (95%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 112, tps: 3663.69, reads: 51291.48, writes: 10990.67, response time: 53.32ms (95%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 112, tps: 2460.80, reads: 34501.43, writes: 7397.59, response time: 257.76ms (95%), errors: 0.00, reconnects:  0.00
[ 910s] threads: 112, tps: 1215.80, reads: 17027.16, writes: 3650.79, response time: 399.88ms (95%), errors: 0.00, reconnects:  0.00
[ 920s] threads: 112, tps: 1180.60, reads: 16473.56, writes: 3522.41, response time: 429.66ms (95%), errors: 0.00, reconnects:  0.00
[ 930s] threads: 112, tps: 2312.00, reads: 32422.60, writes: 6955.20, response time: 399.04ms (95%), errors: 0.00, reconnects:  0.00
[ 940s] threads: 112, tps: 746.40, reads: 10394.03, writes: 2219.01, response time: 944.69ms (95%), errors: 0.00, reconnects:  0.00
[ 950s] threads: 112, tps: 1346.80, reads: 18904.97, writes: 4059.19, response time: 57.70ms (95%), errors: 0.00, reconnects:  0.00
[ 960s] threads: 112, tps: 1606.40, reads: 22435.58, writes: 4801.20, response time: 57.69ms (95%), errors: 0.00, reconnects:  0.00
[ 970s] threads: 112, tps: 3605.80, reads: 50486.16, writes: 10817.21, response time: 54.68ms (95%), errors: 0.00, reconnects:  0.00
[ 980s] threads: 112, tps: 3868.29, reads: 54154.84, writes: 11605.07, response time: 51.62ms (95%), errors: 0.00, reconnects:  0.00
[ 990s] threads: 112, tps: 2023.70, reads: 28385.66, writes: 6090.09, response time: 295.10ms (95%), errors: 0.00, reconnects:  0.00
[1000s] threads: 112, tps: 1341.90, reads: 18777.55, writes: 4022.11, response time: 402.28ms (95%), errors: 0.00, reconnects:  0.00
[1010s] threads: 112, tps: 1852.30, reads: 25879.63, writes: 5540.91, response time: 402.88ms (95%), errors: 0.00, reconnects:  0.00
[1020s] threads: 112, tps: 1521.70, reads: 21364.74, writes: 4584.49, response time: 455.90ms (95%), errors: 0.00, reconnects:  0.00
[1030s] threads: 112, tps: 1429.71, reads: 19961.69, writes: 4269.12, response time: 803.45ms (95%), errors: 0.00, reconnects:  0.00
[1040s] threads: 112, tps: 701.50, reads: 9827.66, writes: 2104.89, response time: 1413.84ms (95%), errors: 0.00, reconnects:  0.00
[1050s] threads: 112, tps: 2950.49, reads: 41354.12, writes: 8871.08, response time: 54.16ms (95%), errors: 0.00, reconnects:  0.00
[1060s] threads: 112, tps: 2083.50, reads: 29118.26, writes: 6233.51, response time: 55.73ms (95%), errors: 0.00, reconnects:  0.00
[1070s] threads: 112, tps: 3786.91, reads: 53020.03, writes: 11359.33, response time: 52.67ms (95%), errors: 0.00, reconnects:  0.00
[1080s] threads: 112, tps: 2715.70, reads: 38069.10, writes: 8165.10, response time: 165.16ms (95%), errors: 0.00, reconnects:  0.00
[1090s] threads: 112, tps: 1508.10, reads: 21112.72, writes: 4524.70, response time: 382.20ms (95%), errors: 0.00, reconnects:  0.00
[1100s] threads: 112, tps: 2201.39, reads: 30805.23, writes: 6599.38, response time: 263.69ms (95%), errors: 0.00, reconnects:  0.00
[1110s] threads: 112, tps: 2714.20, reads: 38013.46, writes: 8147.21, response time: 231.36ms (95%), errors: 0.00, reconnects:  0.00
[1120s] threads: 112, tps: 1412.30, reads: 19767.45, writes: 4236.19, response time: 460.56ms (95%), errors: 0.00, reconnects:  0.00
[1130s] threads: 112, tps: 1837.70, reads: 25730.45, writes: 5513.81, response time: 59.21ms (95%), errors: 0.00, reconnects:  0.00
[1140s] threads: 112, tps: 1541.00, reads: 21518.06, writes: 4604.79, response time: 57.19ms (95%), errors: 0.00, reconnects:  0.00
[1150s] threads: 112, tps: 2516.31, reads: 35233.09, writes: 7548.92, response time: 54.79ms (95%), errors: 0.00, reconnects:  0.00
[1160s] threads: 112, tps: 3329.19, reads: 46617.23, writes: 9987.88, response time: 55.30ms (95%), errors: 0.00, reconnects:  0.00
[1170s] threads: 112, tps: 2636.61, reads: 36939.52, writes: 7920.83, response time: 86.96ms (95%), errors: 0.00, reconnects:  0.00
[1180s] threads: 112, tps: 1522.39, reads: 21324.70, writes: 4572.68, response time: 378.56ms (95%), errors: 0.00, reconnects:  0.00
[1190s] threads: 112, tps: 1403.60, reads: 19600.78, writes: 4194.39, response time: 396.18ms (95%), errors: 0.00, reconnects:  0.00
[1200s] threads: 112, tps: 2222.40, reads: 31165.75, writes: 6683.41, response time: 126.12ms (95%), errors: 0.00, reconnects:  0.00
[1210s] threads: 112, tps: 915.10, reads: 12816.63, writes: 2747.31, response time: 844.64ms (95%), errors: 0.00, reconnects:  0.00
[1220s] threads: 112, tps: 1833.10, reads: 25651.70, writes: 5496.30, response time: 57.64ms (95%), errors: 0.00, reconnects:  0.00
[1230s] threads: 112, tps: 2464.50, reads: 34459.07, writes: 7377.31, response time: 54.32ms (95%), errors: 0.00, reconnects:  0.00
[1240s] threads: 112, tps: 2166.59, reads: 30388.07, writes: 6519.17, response time: 56.09ms (95%), errors: 0.00, reconnects:  0.00
[1250s] threads: 112, tps: 1789.51, reads: 24993.00, writes: 5348.52, response time: 60.26ms (95%), errors: 0.00, reconnects:  0.00
[1260s] threads: 112, tps: 3758.59, reads: 52626.24, writes: 11277.37, response time: 53.16ms (95%), errors: 0.00, reconnects:  0.00
[1270s] threads: 112, tps: 2825.21, reads: 39597.22, writes: 8491.23, response time: 63.43ms (95%), errors: 0.00, reconnects:  0.00
[1280s] threads: 112, tps: 1488.19, reads: 20842.71, writes: 4466.98, response time: 383.12ms (95%), errors: 0.00, reconnects:  0.00
[1290s] threads: 112, tps: 1109.60, reads: 15523.87, writes: 3324.81, response time: 556.14ms (95%), errors: 0.00, reconnects:  0.00
[1300s] threads: 112, tps: 2313.49, reads: 32396.27, writes: 6943.47, response time: 277.71ms (95%), errors: 0.00, reconnects:  0.00
[1310s] threads: 112, tps: 948.80, reads: 13289.03, writes: 2848.21, response time: 564.19ms (95%), errors: 0.00, reconnects:  0.00
[1320s] threads: 112, tps: 1829.10, reads: 25607.34, writes: 5487.29, response time: 58.87ms (95%), errors: 0.00, reconnects:  0.00
[1330s] threads: 112, tps: 1494.50, reads: 20865.85, writes: 4464.49, response time: 63.54ms (95%), errors: 0.00, reconnects:  0.00
[1340s] threads: 112, tps: 3625.61, reads: 50759.12, writes: 10876.23, response time: 53.91ms (95%), errors: 0.00, reconnects:  0.00
[1350s] threads: 112, tps: 537.00, reads: 7494.22, writes: 1611.80, response time: 392.17ms (95%), errors: 0.00, reconnects:  0.00
[1360s] threads: 112, tps: 2087.70, reads: 29249.59, writes: 6263.30, response time: 259.70ms (95%), errors: 0.00, reconnects:  0.00
[1370s] threads: 112, tps: 2986.30, reads: 41809.52, writes: 8957.30, response time: 56.83ms (95%), errors: 0.00, reconnects:  0.00
[1380s] threads: 112, tps: 2954.80, reads: 41369.53, writes: 8865.59, response time: 57.45ms (95%), errors: 0.00, reconnects:  0.00
[1390s] threads: 112, tps: 2905.61, reads: 40676.63, writes: 8716.23, response time: 58.28ms (95%), errors: 0.00, reconnects:  0.00
[1400s] threads: 112, tps: 2861.78, reads: 40117.10, writes: 8603.13, response time: 61.34ms (95%), errors: 0.00, reconnects:  0.00
[1410s] threads: 112, tps: 1165.01, reads: 16306.58, writes: 3493.62, response time: 479.27ms (95%), errors: 0.00, reconnects:  0.00
[1420s] threads: 112, tps: 937.90, reads: 13130.59, writes: 2812.30, response time: 562.34ms (95%), errors: 0.00, reconnects:  0.00
[1430s] threads: 112, tps: 1910.40, reads: 26740.94, writes: 5730.61, response time: 429.02ms (95%), errors: 0.00, reconnects:  0.00
[1440s] threads: 112, tps: 3050.59, reads: 42671.20, writes: 9137.58, response time: 48.32ms (95%), errors: 0.00, reconnects:  0.00
[1450s] threads: 112, tps: 3494.41, reads: 48915.77, writes: 10482.82, response time: 46.84ms (95%), errors: 0.00, reconnects:  0.00
[1460s] threads: 112, tps: 3491.99, reads: 48942.51, writes: 10495.58, response time: 46.78ms (95%), errors: 0.00, reconnects:  0.00
[1470s] threads: 112, tps: 1348.40, reads: 18876.57, writes: 4044.99, response time: 495.61ms (95%), errors: 0.00, reconnects:  0.00
[1480s] threads: 112, tps: 1152.90, reads: 16140.43, writes: 3458.51, response time: 450.74ms (95%), errors: 0.00, reconnects:  0.00
[1490s] threads: 112, tps: 2628.81, reads: 36801.09, writes: 7885.82, response time: 52.34ms (95%), errors: 0.00, reconnects:  0.00
[1500s] threads: 112, tps: 1013.80, reads: 14197.19, writes: 3042.40, response time: 566.22ms (95%), errors: 0.00, reconnects:  0.00
[1510s] threads: 112, tps: 2951.40, reads: 41317.13, writes: 8853.41, response time: 59.00ms (95%), errors: 0.00, reconnects:  0.00
[1520s] threads: 112, tps: 2261.59, reads: 31612.33, writes: 6767.58, response time: 400.48ms (95%), errors: 0.00, reconnects:  0.00
[1530s] threads: 112, tps: 4145.91, reads: 58040.86, writes: 12436.93, response time: 38.87ms (95%), errors: 0.00, reconnects:  0.00
[1540s] threads: 112, tps: 5007.29, reads: 70101.52, writes: 15021.06, response time: 37.26ms (95%), errors: 0.00, reconnects:  0.00
[1550s] threads: 112, tps: 4640.31, reads: 64968.94, writes: 13923.73, response time: 40.46ms (95%), errors: 0.00, reconnects:  0.00
[1560s] threads: 112, tps: 1200.90, reads: 16801.58, writes: 3601.69, response time: 541.85ms (95%), errors: 0.00, reconnects:  0.00
[1570s] threads: 112, tps: 1067.20, reads: 14999.22, writes: 3218.81, response time: 484.89ms (95%), errors: 0.00, reconnects:  0.00
[1580s] threads: 112, tps: 2572.99, reads: 35966.52, writes: 7700.38, response time: 352.32ms (95%), errors: 0.00, reconnects:  0.00
