sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 830s] threads: 112, tps: 1075.79, reads: 15062.63, writes: 3227.78, response time: 191.19ms (95%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 112, tps: 1078.11, reads: 15085.97, writes: 3233.52, response time: 200.87ms (95%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 112, tps: 1072.19, reads: 15023.63, writes: 3218.18, response time: 186.39ms (95%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 112, tps: 994.00, reads: 13912.57, writes: 2980.01, response time: 210.60ms (95%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 112, tps: 998.30, reads: 13968.13, writes: 2994.69, response time: 194.37ms (95%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 112, tps: 1127.20, reads: 15779.00, writes: 3381.20, response time: 170.79ms (95%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 112, tps: 1179.03, reads: 16509.36, writes: 3537.48, response time: 160.43ms (95%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 112, tps: 1187.24, reads: 16633.32, writes: 3563.53, response time: 154.26ms (95%), errors: 0.00, reconnects:  0.00
[ 910s] threads: 112, tps: 1166.46, reads: 16320.93, writes: 3497.78, response time: 167.45ms (95%), errors: 0.00, reconnects:  0.00
[ 920s] threads: 112, tps: 1159.14, reads: 16225.89, writes: 3479.03, response time: 170.18ms (95%), errors: 0.00, reconnects:  0.00
[ 930s] threads: 112, tps: 1102.56, reads: 15431.41, writes: 3305.90, response time: 188.64ms (95%), errors: 0.00, reconnects:  0.00
[ 940s] threads: 112, tps: 1171.44, reads: 16405.06, writes: 3515.72, response time: 174.67ms (95%), errors: 0.00, reconnects:  0.00
[ 950s] threads: 112, tps: 1100.17, reads: 15408.26, writes: 3300.50, response time: 199.26ms (95%), errors: 0.00, reconnects:  0.00
[ 960s] threads: 112, tps: 1063.33, reads: 14886.66, writes: 3190.20, response time: 213.97ms (95%), errors: 0.00, reconnects:  0.00
[ 970s] threads: 112, tps: 1088.87, reads: 15239.20, writes: 3265.01, response time: 196.59ms (95%), errors: 0.00, reconnects:  0.00
[ 980s] threads: 112, tps: 1117.93, reads: 15652.93, writes: 3354.99, response time: 193.55ms (95%), errors: 0.00, reconnects:  0.00
[ 990s] threads: 112, tps: 1090.27, reads: 15259.44, writes: 3269.82, response time: 193.15ms (95%), errors: 0.00, reconnects:  0.00
[1000s] threads: 112, tps: 1048.33, reads: 14677.15, writes: 3144.98, response time: 211.80ms (95%), errors: 0.00, reconnects:  0.00
[1010s] threads: 112, tps: 1106.18, reads: 15479.49, writes: 3316.73, response time: 172.28ms (95%), errors: 0.00, reconnects:  0.00
[1020s] threads: 112, tps: 1092.42, reads: 15299.35, writes: 3279.07, response time: 181.00ms (95%), errors: 0.00, reconnects:  0.00
