sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1680s] threads: 112, tps: 1264.80, reads: 17697.80, writes: 3792.60, response time: 131.75ms (95%), errors: 0.00, reconnects:  0.00
[1690s] threads: 112, tps: 1312.50, reads: 18386.47, writes: 3939.29, response time: 126.53ms (95%), errors: 0.00, reconnects:  0.00
[1700s] threads: 112, tps: 1331.71, reads: 18630.27, writes: 3992.52, response time: 121.70ms (95%), errors: 0.00, reconnects:  0.00
[1710s] threads: 112, tps: 1261.80, reads: 17672.26, writes: 3787.39, response time: 135.55ms (95%), errors: 0.00, reconnects:  0.00
[1720s] threads: 112, tps: 1224.00, reads: 17138.78, writes: 3671.19, response time: 150.16ms (95%), errors: 0.00, reconnects:  0.00
[1730s] threads: 112, tps: 1194.60, reads: 16725.70, writes: 3585.40, response time: 159.19ms (95%), errors: 0.00, reconnects:  0.00
[1740s] threads: 112, tps: 971.70, reads: 13613.12, writes: 2915.70, response time: 222.93ms (95%), errors: 0.00, reconnects:  0.00
[1750s] threads: 112, tps: 892.20, reads: 12480.50, writes: 2674.50, response time: 246.29ms (95%), errors: 0.00, reconnects:  0.00
[1760s] threads: 112, tps: 947.20, reads: 13265.50, writes: 2844.10, response time: 189.88ms (95%), errors: 0.00, reconnects:  0.00
[1770s] threads: 112, tps: 1018.60, reads: 14263.30, writes: 3054.20, response time: 153.85ms (95%), errors: 0.00, reconnects:  0.00
[1780s] threads: 112, tps: 1317.00, reads: 18437.38, writes: 3951.00, response time: 122.95ms (95%), errors: 0.00, reconnects:  0.00
[1790s] threads: 112, tps: 1338.20, reads: 18732.06, writes: 4013.61, response time: 122.73ms (95%), errors: 0.00, reconnects:  0.00
[1800s] threads: 112, tps: 1265.20, reads: 17704.25, writes: 3795.59, response time: 133.94ms (95%), errors: 0.00, reconnects:  0.00
[1810s] threads: 112, tps: 1249.20, reads: 17494.20, writes: 3747.80, response time: 146.39ms (95%), errors: 0.00, reconnects:  0.00
[1820s] threads: 112, tps: 1158.00, reads: 16208.19, writes: 3473.80, response time: 174.72ms (95%), errors: 0.00, reconnects:  0.00
[1830s] threads: 112, tps: 1181.00, reads: 16529.76, writes: 3542.59, response time: 163.34ms (95%), errors: 0.00, reconnects:  0.00
[1840s] threads: 112, tps: 957.50, reads: 13428.61, writes: 2875.30, response time: 228.67ms (95%), errors: 0.00, reconnects:  0.00
[1850s] threads: 112, tps: 910.20, reads: 12734.04, writes: 2728.81, response time: 221.66ms (95%), errors: 0.00, reconnects:  0.00
[1860s] threads: 112, tps: 990.30, reads: 13862.48, writes: 2972.50, response time: 172.38ms (95%), errors: 0.00, reconnects:  0.00
[1870s] threads: 112, tps: 1086.90, reads: 15217.92, writes: 3260.10, response time: 150.61ms (95%), errors: 0.00, reconnects:  0.00
[1880s] threads: 112, tps: 1330.70, reads: 18629.64, writes: 3991.11, response time: 121.23ms (95%), errors: 0.00, reconnects:  0.00
[1890s] threads: 112, tps: 1342.20, reads: 18780.05, writes: 4027.19, response time: 121.63ms (95%), errors: 0.00, reconnects:  0.00
[1900s] threads: 112, tps: 1284.40, reads: 17988.81, writes: 3852.80, response time: 127.48ms (95%), errors: 0.00, reconnects:  0.00
[1910s] threads: 112, tps: 1223.20, reads: 17122.30, writes: 3668.60, response time: 156.12ms (95%), errors: 0.00, reconnects:  0.00
[1920s] threads: 112, tps: 1239.00, reads: 17348.63, writes: 3717.79, response time: 140.26ms (95%), errors: 0.00, reconnects:  0.00
[1930s] threads: 112, tps: 1104.10, reads: 15455.25, writes: 3313.11, response time: 180.24ms (95%), errors: 0.00, reconnects:  0.00
[1940s] threads: 112, tps: 798.30, reads: 11179.29, writes: 2394.70, response time: 319.47ms (95%), errors: 0.00, reconnects:  0.00
[1950s] threads: 112, tps: 853.60, reads: 11948.15, writes: 2559.81, response time: 242.20ms (95%), errors: 0.00, reconnects:  0.00
[1960s] threads: 112, tps: 1003.30, reads: 14048.67, writes: 3010.89, response time: 154.45ms (95%), errors: 0.00, reconnects:  0.00
[1970s] threads: 112, tps: 1238.50, reads: 17332.44, writes: 3714.91, response time: 146.04ms (95%), errors: 0.00, reconnects:  0.00
[1980s] threads: 112, tps: 1324.40, reads: 18545.05, writes: 3972.19, response time: 118.97ms (95%), errors: 0.00, reconnects:  0.00
